nm0004517,Jason Alexander,Jason Scott Greenspan,164,"September 23, 1959 in Newark, New Jersey, USA",1959-09-23,"Newark, New Jersey, USA",,
nm0004519,Neal Acree,Neal Acree,,"July 11, 1974 in Tarzana, California, USA",1974-07-11,"Tarzana, California, USA",,
nm0004554,Ben Hernandez Bray,Benjamin Hernandez Bray,183,,,,,
nm0004569,Sanjay Dutt,Sanjay Balraj Dutt,178,"July 29, 1959 in Bombay, State of Bombay, India",1959-07-29,"Bombay, State of Bombay, India",,
nm0004581,Harry Gregson-Williams,Harry Gregson-Williams,,"December 13, 1961 in Chichester, England, UK",1961-12-13,"Chichester, England, UK",,
nm0004582,Jeff Danna,Jeff Danna,,1964 in Canada,1964 in Canada,Canada,,
nm0004586,Byron Werner,Byron Werner,193,,,,,
nm0004626,Kareena Kapoor,Kareena Randhir Kapoor,163,"September 21, 1980 in Bombay, Maharashtra, India",1980-09-21,"Bombay, Maharashtra, India",,
nm0004632,Andrea Powell,Andrea Powell,170,"October 17, 1965 in Valdosta, Georgia, USA",1965-10-17,"Valdosta, Georgia, USA",,
nm0004650,Marisa Paredes,María Luisa Paredes Bartolomé,,"April 3, 1946 in Madrid, Madrid, Spain",1946-04-03,"Madrid, Madrid, Spain",,
nm0004694,Christina Aguilera,Christina Maria Aguilera,157,"December 18, 1980 in Staten Island, New York City, New York, USA",1980-12-18,"Staten Island, New York City, New York, USA",,
nm0004710,Naveen Andrews,Naveen William Sidney Andrews,175,"January 17, 1969 in London, England, UK",1969-01-17,"London, England, UK",,
nm0004730,Orson Bean,Dallas Frederick Burrows,183,"July 22, 1928 in Burlington, Vermont, USA",1928-07-22,"Burlington, Vermont, USA",2020-02-07,"Venice, Los Angeles, California, USA  "
nm0020901,Peter Allen,Peter Allen,,,,,,
nm0004715,Will Arnett,William Emerson Arnett,189,"May 4, 1970 in Toronto, Ontario, Canada",1970-05-04,"Toronto, Ontario, Canada",,
nm0004716,Darren Aronofsky,Darren Aronofsky,183,"February 12, 1969 in Brooklyn, New York City, New York, USA",1969-02-12,"Brooklyn, New York City, New York, USA",,
nm0004754,Jessica Biel,Jessica Claire Biel,170,"March 3, 1982 in Ely, Minnesota, USA",1982-03-03,"Ely, Minnesota, USA",,
